playerID,yearID,gameNumber,teamID,leagueID,playedInGame,startingPosition
whitebi03,1959,1,SLN,NL,0,
whitebi03,1959,2,SLN,NL,0,
fordwh01,1960,2,NYA,AL,1,1.0
monbobi01,1960,1,BOS,AL,1,1.0
berrayo01,1960,1,NYA,AL,1,2.0
berrayo01,1960,2,NYA,AL,1,2.0
skowrbi01,1960,1,NYA,AL,1,3.0
skowrbi01,1960,2,NYA,AL,1,3.0
runnepe01,1960,1,BOS,AL,1,4.0
runnepe01,1960,2,BOS,AL,1,4.0
malzofr01,1960,1,BOS,AL,1,5.0
malzofr01,1960,2,BOS,AL,1,5.0
hansero02,1960,1,BAL,AL,1,6.0
hansero02,1960,2,BAL,AL,1,6.0
minosmi01,1960,1,CHA,AL,1,7.0
minosmi01,1960,2,CHA,AL,1,7.0
mantlmi01,1960,1,NYA,AL,1,8.0
mantlmi01,1960,2,NYA,AL,1,8.0
marisro01,1960,1,NYA,AL,1,9.0
marisro01,1960,2,NYA,AL,1,9.0
aparilu01,1960,2,CHA,AL,0,
aparilu01,1960,1,CHA,AL,1,
bellga01,1960,1,CLE,AL,1,
bellga01,1960,2,CLE,AL,1,
coateji01,1960,2,NYA,AL,0,
coateji01,1960,1,NYA,AL,1,
daleybu01,1960,2,KC1,AL,0,
daleybu01,1960,1,KC1,AL,1,
estrach01,1960,2,BAL,AL,0,
estrach01,1960,1,BAL,AL,1,
fordwh01,1960,1,NYA,AL,0,
foxne01,1960,1,CHA,AL,1,
foxne01,1960,2,CHA,AL,1,
gentiji01,1960,2,BAL,AL,0,
gentiji01,1960,1,BAL,AL,1,
howarel01,1960,2,NYA,AL,0,
howarel01,1960,1,NYA,AL,1,
kalinal01,1960,1,DET,AL,1,
kalinal01,1960,2,DET,AL,1,
kuennha01,1960,1,CLE,AL,1,
kuennha01,1960,2,CLE,AL,1,
laryfr01,1960,1,DET,AL,1,
laryfr01,1960,2,DET,AL,1,
lemonji01,1960,2,WS1,AL,0,
lemonji01,1960,1,WS1,AL,1,
lollash01,1960,1,CHA,AL,1,
lollash01,1960,2,CHA,AL,1,
monbobi01,1960,2,BOS,AL,0,
pascuca02,1960,1,WS1,AL,0,
pascuca02,1960,2,WS1,AL,0,
powervi01,1960,1,CLE,AL,0,
powervi01,1960,2,CLE,AL,1,
robinbr01,1960,1,BAL,AL,1,
robinbr01,1960,2,BAL,AL,1,
smithal04,1960,1,CHA,AL,1,
smithal04,1960,2,CHA,AL,1,
